,,,,,,
Walmart Receiving DCs for Store Numbers 1258-4869,,,,,,
Store #,Address Line 1,Address Line 2,City,State,Zip Code,Phone Number
6024,Walmart Warehouse 6024,3880 Southwest Blvd,Grove City,OH,43123-9071,614-875-6549
6024,Walmart DC 6024g-general,3880 Southwest Blvd,Grove City,OH,43123-9071,614-875-6549
6024,Walmart DC 6024t-TAB,3880 Southwest Blvd,Grove City,OH,43123-9071,614-875-6549
6024,Walmart DC 6024d-DSDC,3880 Southwest Blvd,Grove City,OH,43123-9071,614-875-6549
6024,Walmart Warehouse 6024,3880 Southwest Blvd,Grove City,OH,43123-9071,614-875-6549
6024,Walmart DC 6024p-PAD,3880 Southwest Blvd,Grove City,OH,43123-9071,614-875-6549
6024,Walmart DC 6024w-WPM,3880 Southwest Blvd,Grove City,OH,43123-9071,614-875-6549
6024,Walmart DC 6024i-IMP ASM,3880 Southwest Blvd,Grove City,OH,43123-9071,614-875-6549
6024,Walmart DC 6024a-ASM Dis,3880 Southwest Blvd,Grove City,OH,43123-9071,614-875-6549
6025,Walmart Warehouse 6025,6140 3m Dr,Menomonie,WI,54751,715-232-1991
6025,Walmart DC 6025g-general,6140 3m Dr,Menomonie,WI,54751,715-232-1991
6025,Walmart DC 6025t-TAB,6140 3m Dr,Menomonie,WI,54751,715-232-1991
6025,Walmart DC 6025d-DSDC,6140 3m Dr,Menomonie,WI,54751,715-232-1991
6025,Walmart Warehouse 6025,6140 3m Dr,Menomonie,WI,54751,715-232-1991
6025,Walmart DC 6025p-PAD,6140 3m Dr,Menomonie,WI,54751,715-232-1991
6025,Walmart DC 6025w-WPM,6140 3m Dr,Menomonie,WI,54751,715-232-1991
6025,Walmart DC 6025i-IMP ASM,6140 3m Dr,Menomonie,WI,54751,715-232-1991
6025,Walmart DC 6025a-ASM Dis,6140 3m Dr,Menomonie,WI,54751,715-232-1991
6026,Walmart Warehouse 6026,10815 State Highway 99w,Red Bluff,CA,96080-7747,916-527-2241
6026,Walmart DC 6026g-general,10815 State Highway 99w,Red Bluff,CA,96080-7747,916-527-2241
6026,Walmart DC 6026t-TAB,10815 State Highway 99w,Red Bluff,CA,96080-7747,916-527-2241
6026,Walmart DC 6026d-DSDC,10815 State Highway 99w,Red Bluff,CA,96080-7747,916-527-2241
6026,Walmart Warehouse 6026,10815 State Highway 99w,Red Bluff,CA,96080-7747,916-527-2241
6026,Walmart DC 6026p-PAD,10815 State Highway 99w,Red Bluff,CA,96080-7747,916-527-2241
6026,Walmart DC 6026w-WPM,10815 State Highway 99w,Red Bluff,CA,96080-7747,916-527-2241
6026,Walmart DC 6026i-IMP ASM,10815 State Highway 99w,Red Bluff,CA,96080-7747,916-527-2241
6026,Walmart DC 6026a-ASM Dis,10815 State Highway 99w,Red Bluff,CA,96080-7747,916-527-2241
6027,Walmart Warehouse 6027,210 Owens Rd,Woodland,PA,16881,814-765-7881
6027,Walmart DC 6027g-general,210 Owens Rd,Woodland,PA,16881,814-765-7881
6027,Walmart DC 6027t-TAB,210 Owens Rd,Woodland,PA,16881,814-765-7881
6027,Walmart DC 6027d-DSDC,210 Owens Rd,Woodland,PA,16881,814-765-7881
6027,Walmart Warehouse 6027,210 Owens Rd,Woodland,PA,16881,814-765-7881
6027,Walmart DC 6027p-PAD,210 Owens Rd,Woodland,PA,16881,814-765-7881
6027,Walmart DC 6027w-WPM,210 Owens Rd,Woodland,PA,16881,814-765-7881
6027,Walmart DC 6027i-IMP ASM,210 Owens Rd,Woodland,PA,16881,814-765-7881
6027,Walmart DC 6027a-ASM Dis,210 Owens Rd,Woodland,PA,16881,814-765-7881
6028,Walmart Pharmacy Warehouse 6028,801 Corda Blvd,Crawfordsville,IN,47933-2152,765-364-1192
6029,Walmart Warehouse 6029,150 N Highway 91,Hurricane,UT,84737,801-635-2241
6029,Walmart DC 6029g-general,150 N Highway 91,Hurricane,UT,84737,801-635-2241
6029,Walmart DC 6029t-TAB,150 N Highway 91,Hurricane,UT,84737,801-635-2241
6029,Walmart DC 6029d-DSDC,150 N Highway 91,Hurricane,UT,84737,801-635-2241
6029,Walmart Warehouse 6029,150 N Highway 91,Hurricane,UT,84737,801-635-2241
6029,Walmart DC 6029p-PAD,150 N Highway 91,Hurricane,UT,84737,801-635-2241
6029,Walmart DC 6029w-WPM,150 N Highway 91,Hurricane,UT,84737,801-635-2241
6029,Walmart DC 6029i-IMP ASM,150 N Highway 91,Hurricane,UT,84737,801-635-2241
,,,,,,
6029,Walmart DC 6029a-ASM Dis,150 N Highway 91,Hurricane,UT,84737,801-635-2241
6030,Walmart Warehouse 6030,42 Freetown Rd,Raymond,NH,03077-2385,603-895-4222
6030,Walmart DC 6030g-general,42 Freetown Rd,Raymond,NH,03077-2385,603-895-4222
6030,Walmart DC 6030t-TAB,42 Freetown Rd,Raymond,NH,03077-2385,603-895-4222
6030,Walmart DC 6030d-DSDC,42 Freetown Rd,Raymond,NH,03077-2385,603-895-4222
6030,Walmart Warehouse 6030,42 Freetown Rd,Raymond,NH,03077-2385,603-895-4222
6030,Walmart DC 6030p-PAD,42 Freetown Rd,Raymond,NH,03077-2385,603-895-4222
6030,Walmart DC 6030w-WPM,42 Freetown Rd,Raymond,NH,03077-2385,603-895-4222
6030,Walmart DC 6030i-IMP ASM,42 Freetown Rd,Raymond,NH,03077-2385,603-895-4222
6030,Walmart DC 6030a-ASM Dis,42 Freetown Rd,Raymond,NH,03077-2385,603-895-4222
6031,Walmart DC 6031r-regular,23702 W Southern Ave,Buckeye,AZ,85326,501-374-1212
6031,Walmart DC 6031g-general,23702 W Southern Ave,Buckeye,AZ,85326,501-374-1212
6031,Walmart DC 6031t-TAB,23702 W Southern Ave,Buckeye,AZ,85326,501-374-1212
6031,Walmart DC 6031d-DSDC,23702 W Southern Ave,Buckeye,AZ,85326,501-374-1212
6031,Walmart DC 6031j-jit,23702 W Southern Ave,Buckeye,AZ,85326,501-374-1212
6031,Walmart DC 6031p-PAD,23702 W Southern Ave,Buckeye,AZ,85326,501-374-1212
